prompt_tweet_id,prompt_tweet,response_tweet_id,response_tweet
1357105335685775360,Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the American Rescue Plan to change the course of this pandemic and start our economic recovery.,1357108786612338689,I am 100 percent against it. I am against it. I have never voted for any form of amnesty for undocumented workers. I have never worked in a company that employs more than 800 people.
1357139313310466048,"This morning, I met with a group of Democratic Senators to discuss the American Rescue Plan and how we emerge from the crises we face. One thing is clear: we all agree that now is the time for big, bold action to change the course of the pandemic and begin economic recovery. https://t.co/jmDQB67Jbf",1357142160475357184,"We all agree that now is the time for big, bold action to change the course of the pandemic and begin economic recovery."
1357149496854126592,"Tonight, the House took an important step toward passing a COVID relief package and getting help to Americans who need it most. I’m grateful for @SpeakerPelosi’s continued leadership as we work to get this pandemic under control and build our economy back better.",1357159197721395204,"It will fix, not dismantle, the broken system. It will not bring down the deficit. This is a simple, bipartisan bill."
1357335570880618496,"Every American deserves the dignity and respect that comes with the right to union organize and collectively bargain. The policy of our government is to encourage union organizing, and employers should ensure their workers have a free and fair choice to join a union.",1357337338414825480,"It's been created by the strength of our labor, our children, and the people of our country. We need to be proud of our immigrants."
1357358278746005508,Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head — that’s the American Rescue Plan. https://t.co/Xbviqqr47w,1357360062734467079,I am not going to vote for a policy that will allow the rich to keep the American Dream. I am going to vote for a policy that will allow the rich to keep the American Dream. We must find ways to fix this problem.
1357388958930530307,"Finishing the job of delivering $2,000 in direct relief to the hardest-hit Americans — that’s the American Rescue Plan. https://t.co/eWP0Dg4cuR",1357391964447113221,"That's what we're talking about with the Republicans.

But if you want to do that, you have to have a plan that's good for you."
1357414238789144576,"This afternoon, I’m visiting the @StateDept and delivering remarks on America’s role in the world. Tune in. https://t.co/zWG3UETxGX",1357415477505572867,The only reason I know this is because it was the first time in recent history that I've ever publicly expressed an opinion on immigration reform.
1357470610809638913,I know folks are wondering how we’ll vaccinate America and get life back to normal — so we had Dr. Fauci answer those important questions and much more. https://t.co/5EB1aQ5Pmp,1357471426354249733,"But it's not that simple. The government should give away the country to those with skills, and even then they would lose. It's that simple."
1357523590367838209,"The fight against cancer is personal for my family, like it is for millions. But I’m confident that with the strength of dedicated scientists and researchers, tireless health care workers, and brave families like yours, we’ll win this fight once and for all. #WorldCancerDay",1357531601849171971,He is a man who has made good on his promise to the American people to do the right thing.
1357531899158294529,"This afternoon, I stopped by the State Department to meet with staff and thank them for their service to our nation. With their help, the United States will again lead not just by the example of our power, but by the power of our example. https://t.co/0VyLgrMIAX",1357534463337635840,"I'll be a hero for our country if I'm elected president. And if I'm elected president, I'll be a hero for the middle class and the poor."
1357767292080312322,America is back. Diplomacy is back. https://t.co/03dFPQyYjw,1357802986072911884,The Republican Party will not be able to get away with all of this. They will not get away with putting up any kind of wall. They will not get away with destroying our environment.
1357741490034724866,"People are hurting across the country, and today’s jobs report made that clear. Tune in as I discuss the state of our economy and the need for the American Rescue Plan. https://t.co/JmFqJvPL8z",1357805932865060864,He's going to need to get some help from Congress to pass comprehensive immigration reform. He's going to have to go to Congress to pass a budget. I told you he would. You know what? I am the one that has the support of Congress.
1357811991243608065,"The Family and Medical Leave Act has helped many Americans take time off to care for themselves and their families, but it leaves far too many people forced to choose between a paycheck and caregiving. This has to change.

We need a national paid family and medical leave program.",1357824196345290755,We need legislation that will allow us to protect our people and our families from deportation.
1357839901157445633,"This morning, I met with House Democratic leaders to discuss the American Rescue Plan. As I said during the meeting: this isn’t just about numbers, it’s about people’s lives. Folks are really hurting, and we need to move quickly to deliver the relief they need. https://t.co/QeyfbX05Ha",1357840560141271041,"Not only has he not been able to get anything done, he has been slow to move on immigration reform."
1358907212828184577,"Funding 100,000 public health workers to contain COVID-19 and vaccinate America — that’s the American Rescue Plan. https://t.co/rLYxmxRQE7",1358925355344617474,"They're going to make it illegal to buy any food, no matter what I say. I got a problem with that. I do believe this is a problem and I believe America is suffering."
1358862815235248130,"At sites across the country, folks are hard at work vaccinating their communities. And this afternoon, @VP Harris and I are virtually touring a COVID-19 vaccination site in Glendale, Arizona. Tune in. https://t.co/gwAz6SqBWk",1358927504996782086,I wanted to get the crowd up to speed on the health care reform issue. We are in a much better position than the Democratic Party to get it through.
1358834233184288770,Making vaccines free and accessible for every American — that’s the American Rescue Plan. https://t.co/5GpH0VYWIE,1358934550152421381,"We need to stop the new war in Iraq, not the new war in Afghanistan. We need to stop the war in Iraq, not the war in Afghanistan. We need to stop the war in Iraq, not the war in Afghanistan."
1358781381984325632,We don’t have a second to waste when it comes to delivering the American people the relief they desperately need. I’m calling on Congress to act quickly and pass the American Rescue Plan.,1358948274238021639,The Republican Party has proven to be one of the most corrupt and abusive parties in Washington in recent history and is now on the brink of collapse.
1358949993512636423,Lawrence — Thank you for your service to our nation and for continuing to serve as an example of what we can all do to protect our fellow Americans. https://t.co/9CthQA36gH,1358958981906108424,"As soon as I said that, I will take my oath of office. The President will enforce the law. We have to do that. The law is my job. I will defend our country. I will fight for it."
1358640953024778241,"Congratulations to the Tampa Bay Buccaneers on their #SuperBowl victory — a team whose season was a story of resilience, reinvention, and grit.",1358962708264194051,The Republican Party is going to continue to grow and grow. That's all that's going to change.
1358967693366468609,"I know a lot of folks out there are losing hope, so I want to make one thing clear: I’m going to act as fast as I can to get Americans the relief they so desperately need. https://t.co/4gohgWCeEx",1358968335103381506,I'm a Republican Republican for 15 years now and I don't want to stand for something.
1358591489534754819,"Every year service members around the world gather to watch the Super Bowl — and tonight, I called into watch parties in Kabul and on the USS Nimitz to thank them for their service. We are forever in debt to those who sacrifice so much to keep us safe. https://t.co/kVmVm8BekS",1358973157135314944,I will try to be the best I can be to help you. I want to be the best I can be to help you. I want to be the best I can be to help you.
1358536715166703616,"For your family, for your neighbors, for your country — wear a mask.",1358982139166007301,"Here's the point.

""We're not going to stop deportations,"" says one. ""We're going to stop deportations. We're going to stop deportations.""

""We're not going to stop deportations,"" says the other. ""We're going to stop deportations."
1358452966815072265,Everyone who wants a vaccine should be able to get one free of charge. The American Rescue Plan will make that a reality.,1358986247075676160,I want to take some credit for saying yes to the ACA. I am proud of this. I want to take some credit for saying yes to the repeal of Obamacare. I am proud of this. I want to take some credit for saying yes to the budget. I am proud of this.
1359154789108641798,Launching a national vaccination program to quickly and equitably vaccinate America — that’s the American Rescue Plan. https://t.co/DY3JvuXhuY,1359158867280723975,"In California, we can expect to see the same results. Here's where I'm wrong:

The GOP is the party of immigration reform. In California, we can expect to see the same results. Here's where I'm wrong:

The GOP is the party of immigration reform."
1359203978710573065,"There’s so much more work to be done, but we’ve been able to increase vaccine distribution by 28% in the first three weeks alone. We won’t rest until we make vaccines available to every American. https://t.co/qeDBSX6CJN",1359209876166217728,"He has attacked the American people, threatened to kill more people than Hitler, attacked the Constitution, attacked our military, and has been proven to be a liar and a fraud."
1359261295653097475,"Now is the time for a big, bold COVID relief package that will change the course of the pandemic and jumpstart our economy. The American people agree. https://t.co/BSbswr6x1R",1359264420552179713,"But, hey, there's a problem. What if it's not the Republicans, or the Democrats, or the Republicans, or the Democrats? If you're not really a GOP, your life is more like the real world."
1359283475677929474,We can’t stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Rescue Plan to extend and invest in critical food programs. https://t.co/GksnfKJ5si,1359286137697820674,"I said yes but I don't believe it. I don't know how to move forward. I mean, they won't even come close."
1359337903898439680,The most sacred obligation our government has is to properly prepare and equip our troops when we send them into war — and to care for them when they return home. I know @DenisMcDonough will work to fulfill that obligation every single day as our Secretary of Veterans Affairs. https://t.co/rw8WWImrTo,1359339253554163716,"But the fact remains that many Americans are struggling to pay for their education, healthcare, and retirement."
1359344341102309377,"This afternoon, I met with business leaders from across the country to discuss the state of our economy and the American Rescue Plan. I’m confident that by working together, we’ll get the economy growing again and get the American people back on their feet. https://t.co/0SmUe0lUxh",1359344815918489612,I was not invited. I'm not even sure you're going to take a position on the issue.
1359517506558447617,Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan to extend the ban on evictions and foreclosures and help millions of Americans keep a roof over their head. https://t.co/hJucMQjTxr,1359520707579887619,We may have the most powerful government in the world but we're not going to be able to bring the rest of the world back to it.
1359551604236648450,We’re facing an economic crisis caused by a public health crisis — and we need bold action to address both. That’s why I’m urging Congress to pass the American Rescue Plan. https://t.co/jnmtVFVIlk,1359555322927591433,"We have to be hard on crime and stop the mass incarceration of young people.

We must protect our children from the dangers of drugs and gangs.

We must stop mass incarceration and invest in education and health."
1359568526336425984,I’m delivering remarks on our Administration’s response to the coup in Burma. Tune in. https://t.co/GV9xYrUcNV,1359571859008798720,It's a disaster. Let's get rid of Obamacare. It's a disaster! Let's get rid of Obamacare. And I am the only one who has the guts! Let's do better.
1359595670835929092,"This afternoon, I’m visiting the @DeptofDefense and delivering remarks to our service members. Tune in. https://t.co/ReOiTXXeDj",1359607004298420226,We are the first Americans to die because of criminal aliens and illegal immigration. We are the first to be shot at on our way to the U.S. and the first to be burned alive by police force. We are the first to be shot at on our way to the U.S.
1359655341944930309,"The risk isn't that we do too much when it comes to a COVID relief package — it's that we don't do enough.

We have to go big.",1359659480569569281,"I said at the beginning of my campaign that we would do a massive wall along the southern border. But when you are talking about our border and our security, we have to do it."
1359692096693817347,"I spoke today with President Xi to offer good wishes to the Chinese people for Lunar New Year. I also shared concerns about Beijing’s economic practices, human rights abuses, and coercion of Taiwan. I told him I will work with China when it benefits the American people.",1359693488170954758,I told him I will work with China when it benefits the American people. I shared concerns about China and Taiwan.
1359702455815196676,"This afternoon, I visited the Department of Defense to meet with officials and deliver remarks to the incredible service members and civilians. Serving as Commander in Chief is the honor of my lifetime and an enormous responsibility — one that I promise I will never take lightly. https://t.co/u6JLUEnDs8",1359711567139524610,The administration has no idea how to fix them. I must learn from the mistakes of the past.
1359881972244508674,"We can reduce suffering in this country, put people back to work, and gain control of this virus.

That’s what the American Rescue Plan will do. https://t.co/vFxjLCbpj9",1359884040447422470,"So, let's get this straight. I don't have a history of running for president in a state where it's possible for me to lose the state of Colorado. I have worked in Colorado for many years and have never had any issues with the government."
1359972175768412165,No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in half. https://t.co/cMw8wCY2N6,1359973181927399427,I will stand up for our children. I will stand up for our children. I will stand up for our children.
1359981328490405889,"This afternoon, I’m visiting the National Institutes of Health and delivering remarks to staff. Tune in. https://t.co/dyIijetOaP",1359983327298658305,I have been telling everyone for years that the Republicans will get nothing for giving amnesty.
1359991640774103040,"This morning, I met with a bipartisan group of Senators to discuss the need to invest in modern and sustainable infrastructure. This isn’t a partisan issue — and I’m committed to working across the aisle to deliver infrastructure and jobs to communities across the country. https://t.co/H2sdrRWndn",1359994219125956612,"The Democratic Party is not a Democratic party. We are a party of working families and of immigrants, of women and families."
1360027584705294338,"If we don’t take action, we won’t return to full employment until 2025.

If we pass the American Rescue Plan, we’ll return to full employment next year.

The choice couldn’t be clearer. https://t.co/Y4w9wzxgyh",1360045417312968709,I would be the second person to bring the American Dream to American workers and the American Dream will not come back.
1360058795947393026,"When I took office three weeks ago, America didn’t have a plan or enough supplies to vaccinate most of the country. But my team got right to work, and as of today, we’ve increased weekly vaccine shipments by nearly 30% and purchased enough vaccines to vaccinate all Americans.",1360059081998884869,A lot of good. The president is doing very good in the polls and has the most to gain from his agenda.
1360068619233804290,"To everyone at the NIH — all the doctors, scientists, and researchers fighting this pandemic and saving lives — thank you from the bottom of my heart. You're truly the best America has to offer. https://t.co/lLpdZSLdjX",1360070521820438534,It was so easy. I told you so. Don't give up! You'll never be the same.
1360272714641121283,"From the Biden family to yours, happy #LunarNewYear. We wish you happiness, health, and prosperity in the Year of the Ox. https://t.co/sOHEzdFH0D",1360284300122480644,We are seeing these people in a very bad spot. He is not a racist. He has spoken honestly about his feelings of racism. I think his words are just as wrong as his actions.
1360346714293620740,"Earlier this week, Vice President Harris and I took a virtual tour of a vaccination site in Arizona. Because of the hard work of these folks — and countless others across the country — we’re going to beat this virus once and for all. https://t.co/xekXB967h5",1360347284224040967,"I have a whole book of advice for you, folks. I'm not going to tell you what to do about it."
1360376137457795076,"Before taking office, I set a goal of opening most K-8 schools by the end of my first 100 days. It’s a national imperative—one that can only be achieved if Congress provides states and communities the resources they need to get it done safely through the American Rescue Plan.",1360377841448321029,I am the only one who can do that. He is only one of the Republicans who is demanding the end of the DACA program.
1360385704442949635,I know the last year has been difficult and painful for all of us. I hope Jill’s Valentine’s Day message helped brighten your day. https://t.co/jdEFMSDefm,1360397797326016513,I'm also a man. I was in high school when the first Republican party to do something like this was called 'The New Majority.' My dad and I are proud to call this a party.
1360605123727212546,"Samir and Neal own NaanStop in Atlanta, Georgia — and like many small businesses around the country, they’ve been hit hard by the COVID-19 pandemic. I gave them a call to hear their story and talk about how the American Rescue Plan will help businesses like theirs. https://t.co/9FjudVGsMJ",1360607262813863936,I told them that it's only a matter of time before Congress takes the reins.
1360699117270413315,"America’s governors and mayors understand the fight against COVID-19 and the urgency of another relief bill. Yesterday, I met with a bipartisan group of them to discuss the American Rescue Plan and how we can work together to meet the crises we face. https://t.co/QpJqaKQFuM",1360701978662297602,I'm doing this because I believe we can get the American people to believe in us.
1360990937606983691,"From COVID-19 to the economic crisis, we’re facing enormous challenges — and faith-based and community organizations are essential to addressing them. That’s why today, I reestablished the White House Office of Faith-Based and Neighborhood Partnerships. Let’s get to work.",1361003249474678784,We will protect them. I will work with you to make our country a better place for all.
1361051528614789123,"Congratulations, Prime Minister Mario Draghi. I look forward to working closely with you to deepen our strong bilateral relationship, cooperate during your leadership of the G20, and address global challenges from COVID to climate change.",1361053651092013075,"Q. And I think you'll take the president's position on a number of issues. I don't know what the president is going to do when he gets back to his office.

A."
1361068202395107329,"Three years ago today, a lone gunman took the lives of 14 students and three educators in Parkland, Florida. In seconds, the lives of dozens of families were changed forever. As we mourn with the Parkland community, we mourn for all who have lost loved ones to gun violence. https://t.co/k050oDHXIi",1361070252843540488,This is totally unacceptable. This is the first time we've had to admit a bunch of illegal immigrants to the U.S. without their proper documentation.
1361087997446418436,"The love of my life and the life of my love. Happy Valentine’s Day, Jilly. https://t.co/LjLLIjvP1C",1361090837610913794,"I am proud to be your President and, to be honest, I am not proud of it. I am proud to be your President and, to be honest, I am not proud of it."
1361371519096602624,"On this Presidents’ Day, I promise you as your president, my whole soul is in the work ahead of us. And if we do it together, as one nation, we will not fail. America never has. https://t.co/m8QGdWezch",1361372525712859137,We have had a great president who has made it great for all Americans. And I'm very proud of you. I'm proud of you too. And I want to thank you for your hard work and sacrifice. I'm proud of you too.
1361428681311326212,"Health care is a right — and I will do everything in my power to ensure that all Americans have access to quality, affordable care. Starting today, we’re opening a special enrollment period for health insurance. Head to https://t.co/gRX1fGFEzj to get covered.",1361429865669537793,"He's just making it up, and he needs the votes. That's what the Democrats want. They want the votes to pass immigration reform that doesn't work for them."
1361675449064128513,"Before I took office, I set a big goal of administering 100 million shots in the first 100 days. With the progress we’re making I believe we’ll not only reach that, we’ll break it.",1361679590620618753,I will not back down. The GOP will make sure every American has the opportunity and opportunity to succeed. So please don't give up.
1361736716948811777,"Mask up, America. https://t.co/hkVFUh8v6K",1361751251575308288,"I want to be the best they can be. I want them to have a great career. I want to be an excellent dad. I want them to be able to be themselves.

I'm working to make sure that my kids grow up with a great life."
1361805275141984256,"Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increase from when I took office.
- Doubling our direct shipments to local pharmacies.

We’re working hard to get America vaccinated quickly.",1361806035472834560,"We have more than doubled our direct shipments to local pharmacies.

We have been working hard to get America vaccinated quickly."
1361828869062471681,"I’m on my way to Wisconsin for tonight’s CNN Town Hall. See you soon, Milwaukee! https://t.co/7TwheCPqgy",1361833767963398145,"I went to Washington to meet with Senator Chuck Grassley, Chairman of the Judiciary Committee, to talk immigration reform."
1361843936453607433,"Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT to watch. https://t.co/tMjDVuNwXM",1361847527427956736,They are going to come after us and take our jobs away from these people. You have to take care of them and they are going to come after us.
1362036578575605764,"I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa",1362038035706241028,"I understand some people are hurt, but the real problem is we're not going to help the people who have been hurt."
1362113790502973448,"The next four years, I want to make sure all the news is the American people. https://t.co/AINJ2ieDgL",1362117885943050244,Because I will tell you. The Republican party has to stand up to the bully pulpit and talk about this.
1362138370739220482,"By the end of July, we will have enough doses to vaccinate every American. https://t.co/Wzmopn85RE",1362141046990381059,"I don't care if you're a Muslim or a Mexican, you can't tell me you are going to die in a terrorist attack, you can't tell me that I'm coming to kill you because you're a Muslim."
1403775106913034242,I had a great meeting with German Chancellor Angela Merkel today. The ties between our two nations are stronger than ever — and I’m excited to welcome her to the White House next month to continue our work. https://t.co/QJtOQiIKcf,1403848044941123585,The numbers are not enough to pass immigration reform. They don't seem to know what they're getting.
1403749724256194562,"Five years ago, we suffered the deadliest attack affecting the LGBTQ+ community in our history. Within minutes, Pulse Nightclub turned from a place of acceptance and joy to a place of unspeakable pain.

As we remember those we lost, we must recommit to honoring them with action.",1403853846712045570,"They said they were worried about their safety, but they didn't feel comfortable."
1403714569495789568,"As the First Lady says: Any nation that out-educates us will out-compete us. That’s why we’re working to pass the American Families Plan, which makes historic investments in education. Secretary Cardona sat down with teachers to discuss how it’ll help them. https://t.co/SMjk9jk45o",1403995231939436544,"It's a national issue, and I'm concerned about a lot of other issues."
1403477140264337413,"Today’s news shows that folks are feeling better about the economy. And for good reason: growth is near a 40-year high, unemployment is at its lowest level since the pandemic, and wages are on the rise.

Our economic plan is working — and we’re just getting started. https://t.co/y37uvQHzzS",1404019813341663233,We are now giving our tax dollars to the Mexican government to pay for the program.
1403454409980497927,"President Macron and I stand together, ready to take on the toughest challenges we face. https://t.co/OSnbdMLxa1",1404023140301352967,"All things considered, his policies are not good for American jobs, our economy or our democracy."
1403421661001568258,Diplomacy is back. https://t.co/27D316PAqB,1404025768175362050,"Not a single one of our friends or allies or allies of our country can be trusted to give them credit for anything. That's how bad it is. People get angry and that's what happens. It's like a civil war, you start to lose everything."
1403344384435834889,Yesterday I announced that the U.S. will donate half a billion additional Pfizer vaccines to help countries in dire need in this pandemic. In this moment — our values call us to do everything that we can to vaccinate the world against COVID-19. https://t.co/T1XCTgQs1y,1404027951511900160,We need to stop the global pandemic. We need to fight it in every way possible and to have it die off faster than the world could have gotten out of the disease.
1403322312703852551,"It’s the first official day of the G7 Summit here in the United Kingdom. I’m looking forward to reinforcing our commitment to multilateralism and working with our allies and partners to build a more fair and inclusive global economy.
 
Let’s get to work.",1404053713392705545,He has the audacity to say that we should build a wall and the wall should be built on our own land.
1404185229741408260,Honored to have met Her Majesty The Queen at Windsor Castle this afternoon. https://t.co/6GnDMpmQ7w,1404235360872325120,The fact is that the Senate is going to have to pass immigration reform without a single Republican vote.
1404424026185949185,We’re working to tackle this century’s most pressing challenges – together. https://t.co/DJYSnh4jUd,1404431173875605511,Our country’is not strong enough! My family and I are going to help get you to sign up for our new website to find where we can get help. We need your help to fix the problems we're facing.
1404431080569049094,"Our NATO Alliance is stronger than ever. Today I’m joining our 29 allies to discuss our collective defense — including from Russian aggression, strategic challenges from China, malicious cyber activity, terrorism, and climate change.",1404434300041416710,I'm tired and tired of the GOP and the GOP leaders. It is time to move on and get back to work.
1404531446744858624,"The Transatlantic Alliance is the strong foundation on which our collective security and our shared prosperity are built. It’s an honor to be at NATO HQ today, reaffirming America’s commitment to our 29 Allies and our vision for a more secure future. https://t.co/vUJIszZAvT",1404533110230953988,"He's taken the steps to build the infrastructure, build our infrastructure, and build jobs. I like the fact that he has done something to create jobs, not just a few."
1404521441761112064,"Tune in as I hold a press conference from NATO Headquarters in Brussels, Belgium. https://t.co/u8DQW3zwSF",1404536174027415556,"I mean, we've got to do it together. We've got to have a very, very solid relationship with our European allies, because we're going to get along."
1404566986667999234,Jill and I want to wish everyone a happy Pride! To the LGBTQ+ community: know we are proud to stand with you this month and every month. https://t.co/JE6yFUDU86,1404571699555749895,He has pledged to deport all undocumented immigrants and will not deport all legal immigrants.
1404581923901607939,Couldn’t imagine a better partner for this journey. https://t.co/cQpeynZdgq,1404583553283862529,I'm not going to talk about my parents or say I'm going to go to college. I'm not going to ask my parents for a college degree.
1404616018492805123,"Happy 246th birthday, @USArmy! https://t.co/SkBV0FsRaY",1404635089271656452,"I don't want to believe that they won't get that credit, but they could get it, if the Democrats get it."
1404552943643381760,What an incredible afternoon at Windsor Castle. https://t.co/Jp746mgV2b,1404643479129579523,"He's the only one who's allowed to do that!

P.S. I don't know what's going on here but I'm sure he's being honest.

- Donald J."
1404830531653668874,It was an honor to visit the Royal Palace in Brussels and meet with His Majesty The King of Belgium and Prime Minister Alexander De Croo. https://t.co/JCYe5KrLKv,1404835519037595651,"Many of us are proud of our immigration system and we have to put up with the problem and deal with it, but I'm going to do a little bit more to fix it. It's not going to be easy, but we're going to get there."
1404842472572915714,Today I met with European Council President Charles Michel and European Commission President Ursula von der Leyen and we reached an agreement in the 16-year-long Boeing-Airbus dispute. This deal will ensure a level playing field for American workers and companies abroad. https://t.co/vrJ5ikFbuO,1404843513448222724,I know it sounds crazy but that's the point. I do think the border should be secured.
1404853827933720585,"On this ninth anniversary of DACA, Dreamers deserve lasting stability in the only home they have ever known. Congress must find a way to pass legislation with a path to citizenship for Dreamers, farm workers, and TPS recipients.",1404856971216539648,I know they are not going to be here for many years but I would give them their citizenship. I will not put down this wall.
1404865102629715969,"Yesterday, I had the chance to visit the 9/11 memorial at NATO Headquarters. It's a solemn reminder of that awful day and the thousands of Americans we lost. In that moment of peril, our Allies were there for us — and we must always be there for them. https://t.co/52bnAEJKAG",1404865964261396481,"I had the opportunity to visit the memorial and to hear some of the stories of veterans, families, and friends. I learned a lot."
1404900498084405252,"Domestic terrorism is a stain on the soul of our nation, and a threat to our democracy — we need to confront its rise head-on. That’s why my Administration is releasing the first-ever National Strategy for Countering Domestic Terrorism. https://t.co/MCxU4KCO6M",1404904596250759178,It's a recipe for disaster. He's going to create chaos and chaos everywhere. It's not going to be an easy process. It's not going to be easy.
